web-scraper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaine
1692657749-4107,01/05/2023,27/09/2023,28/09/2023,82,82,Chambre Lits Jumeaux,,B&B HOTEL Saint Jean de Luz,Saint-Jean-de-Luz,,39
1692657749-4108,01/05/2023,27/09/2023,28/09/2023,94,94,Chambre Triple,,Logis Hôtel Baratxartea,Sare,,39
1692657749-4109,01/05/2023,27/09/2023,28/09/2023,87,87,Chambre Double Économique,,Hôtel d'Ossau,Laruns,,39
1692657749-4110,01/05/2023,27/09/2023,28/09/2023,52,52,Chambre Triple,,ibis budget Pau Lescar,Lescar,,39
1692657749-4111,01/05/2023,27/09/2023,28/09/2023,94,94,Chambre Double,,Logis Hotel Ur-Hegian,Ainhoa,,39
1692657749-4112,01/05/2023,27/09/2023,28/09/2023,70,70,Chambre Triple,,ibis budget Bayonne,Bayonne,,39
1692657749-4113,01/05/2023,27/09/2023,28/09/2023,68,68,Chambre Double,,Hotel Alaïa,Ascain,,39
1692657749-4114,01/05/2023,27/09/2023,28/09/2023,101,101,Chambre Lit King-Size Deluxe,,Carré Pau Airport Hôtel,Serres-Castet,,39
1692657749-4115,01/05/2023,27/09/2023,28/09/2023,68,68,Chambre Lits Jumeaux,,Kyriad Orthez,Orthez,,39
1692657749-4116,01/05/2023,27/09/2023,28/09/2023,88,88,Chambre Double,,Hôtel Lastiry,Sare,,39
1692657749-4117,01/05/2023,27/09/2023,28/09/2023,76,76,Chambre Double,,Logis Hôtel l'Amandier,Morlaas,,39
1692657749-4118,01/05/2023,27/09/2023,28/09/2023,126,126,Chambre Double,,Hotel Balea,Guéthary,,39
1692657749-4119,01/05/2023,27/09/2023,28/09/2023,90,90,Chambre Double Standard,,Hotel Cote Basque,Bayonne,,39
1692657749-4120,01/05/2023,27/09/2023,28/09/2023,79,79,Chambre Double,,Campanile Saint Jean de Luz,Saint-Jean-de-Luz,,39
1692657749-4121,01/05/2023,27/09/2023,28/09/2023,78,78,Chambre Double,,Kyriad Anglet - Biarritz,Anglet,,39
1692657749-4122,01/05/2023,27/09/2023,28/09/2023,107,107,Chambre Double ou Lits Jumeaux - Vue sur Ville,,Logis Hôtel Etchemaïté,Larrau,,39
1692657749-4123,01/05/2023,27/09/2023,28/09/2023,94,94,Chambre Double Standard,,Domaine Agerria,Mauléon-Licharre,,39
1692657749-4124,01/05/2023,27/09/2023,28/09/2023,77,77,Chambre Double Économique - Côté Rue,,Hôtel du Pont,Ascain,,39
1692657749-4125,01/05/2023,27/09/2023,28/09/2023,85,85,Chambre Double,,Hotel Bellevue,Hendaye,,39
1692657749-4126,01/05/2023,27/09/2023,28/09/2023,63,63,Chambre Lits Jumeaux Standard,,Hotel LES GENETS - Restaurant ATEA,Bayonne,,39
1692657749-4127,01/05/2023,27/09/2023,28/09/2023,81,81,Chambre Double Confort,,Hôtel du Parc,Salies-de-Béarn,,39
1692657749-4128,01/05/2023,27/09/2023,28/09/2023,68,68,Chambre Double,,Le Central Hôtel-Bar,Oloron-Sainte-Marie,,39
1692657749-4129,01/05/2023,27/09/2023,28/09/2023,53,53,Chambre Triple Standard avec 1 Lit Double et 1 Lit Simple,,ibis budget Ciboure St-Jean-Luz,Ciboure,,39
1692657749-4130,01/05/2023,27/09/2023,28/09/2023,68,68,Chambre Double,,B&B HOTEL Pau Lescar,Lescar,,39
1692657749-4131,01/05/2023,27/09/2023,28/09/2023,66,66,Chambre Double,,Hôtel Camou,Uhart-Cize,,39
1692657749-4132,01/05/2023,27/09/2023,28/09/2023,82,82,Chambre Lits Jumeaux,,B&B HOTEL Saint Jean de Luz,Saint-Jean-de-Luz,,39
1692657749-4133,01/05/2023,27/09/2023,28/09/2023,94,94,Chambre Triple,,Logis Hôtel Baratxartea,Sare,,39
1692657749-4134,01/05/2023,27/09/2023,28/09/2023,87,87,Chambre Double Économique,,Hôtel d'Ossau,Laruns,,39
1692657749-4135,01/05/2023,27/09/2023,28/09/2023,52,52,Chambre Triple,,ibis budget Pau Lescar,Lescar,,39
1692657749-4136,01/05/2023,27/09/2023,28/09/2023,94,94,Chambre Double,,Logis Hotel Ur-Hegian,Ainhoa,,39
1692657749-4137,01/05/2023,27/09/2023,28/09/2023,70,70,Chambre Triple,,ibis budget Bayonne,Bayonne,,39
1692657749-4138,01/05/2023,27/09/2023,28/09/2023,68,68,Chambre Double,,Hotel Alaïa,Ascain,,39
1692657749-4139,01/05/2023,27/09/2023,28/09/2023,101,101,Chambre Lit King-Size Deluxe,,Carré Pau Airport Hôtel,Serres-Castet,,39
1692657749-4140,01/05/2023,27/09/2023,28/09/2023,68,68,Chambre Lits Jumeaux,,Kyriad Orthez,Orthez,,39
1692657749-4141,01/05/2023,27/09/2023,28/09/2023,88,88,Chambre Double,,Hôtel Lastiry,Sare,,39
1692657749-4142,01/05/2023,27/09/2023,28/09/2023,76,76,Chambre Double,,Logis Hôtel l'Amandier,Morlaas,,39
1692657749-4143,01/05/2023,27/09/2023,28/09/2023,126,126,Chambre Double,,Hotel Balea,Guéthary,,39
1692657749-4144,01/05/2023,27/09/2023,28/09/2023,90,90,Chambre Double Standard,,Hotel Cote Basque,Bayonne,,39
1692657749-4145,01/05/2023,27/09/2023,28/09/2023,79,79,Chambre Double,,Campanile Saint Jean de Luz,Saint-Jean-de-Luz,,39
1692657749-4146,01/05/2023,27/09/2023,28/09/2023,78,78,Chambre Double,,Kyriad Anglet - Biarritz,Anglet,,39
1692657749-4147,01/05/2023,27/09/2023,28/09/2023,107,107,Chambre Double ou Lits Jumeaux - Vue sur Ville,,Logis Hôtel Etchemaïté,Larrau,,39
1692657749-4148,01/05/2023,27/09/2023,28/09/2023,94,94,Chambre Double Standard,,Domaine Agerria,Mauléon-Licharre,,39
1692657749-4149,01/05/2023,27/09/2023,28/09/2023,77,77,Chambre Double Économique - Côté Rue,,Hôtel du Pont,Ascain,,39
1692657749-4150,01/05/2023,27/09/2023,28/09/2023,85,85,Chambre Double,,Hotel Bellevue,Hendaye,,39
1692657749-4151,01/05/2023,27/09/2023,28/09/2023,63,63,Chambre Lits Jumeaux Standard,,Hotel LES GENETS - Restaurant ATEA,Bayonne,,39
1692657749-4152,01/05/2023,27/09/2023,28/09/2023,81,81,Chambre Double Confort,,Hôtel du Parc,Salies-de-Béarn,,39
1692657749-4153,01/05/2023,27/09/2023,28/09/2023,68,68,Chambre Double,,Le Central Hôtel-Bar,Oloron-Sainte-Marie,,39
1692657749-4154,01/05/2023,27/09/2023,28/09/2023,53,53,Chambre Triple Standard avec 1 Lit Double et 1 Lit Simple,,ibis budget Ciboure St-Jean-Luz,Ciboure,,39
1692657749-4155,01/05/2023,27/09/2023,28/09/2023,68,68,Chambre Double,,B&B HOTEL Pau Lescar,Lescar,,39
1692657749-4156,01/05/2023,27/09/2023,28/09/2023,66,66,Chambre Double,,Hôtel Camou,Uhart-Cize,,39
1692657749-4157,01/05/2023,27/09/2023,28/09/2023,82,82,Chambre Lits Jumeaux,,B&B HOTEL Saint Jean de Luz,Saint-Jean-de-Luz,,39
1692657749-4158,01/05/2023,27/09/2023,28/09/2023,94,94,Chambre Triple,,Logis Hôtel Baratxartea,Sare,,39
1692657749-4159,01/05/2023,27/09/2023,28/09/2023,87,87,Chambre Double Économique,,Hôtel d'Ossau,Laruns,,39
1692657749-4160,01/05/2023,27/09/2023,28/09/2023,52,52,Chambre Triple,,ibis budget Pau Lescar,Lescar,,39
1692657749-4161,01/05/2023,27/09/2023,28/09/2023,94,94,Chambre Double,,Logis Hotel Ur-Hegian,Ainhoa,,39
1692657749-4162,01/05/2023,27/09/2023,28/09/2023,70,70,Chambre Triple,,ibis budget Bayonne,Bayonne,,39
1692657749-4163,01/05/2023,27/09/2023,28/09/2023,68,68,Chambre Double,,Hotel Alaïa,Ascain,,39
1692657749-4164,01/05/2023,27/09/2023,28/09/2023,101,101,Chambre Lit King-Size Deluxe,,Carré Pau Airport Hôtel,Serres-Castet,,39
1692657749-4165,01/05/2023,27/09/2023,28/09/2023,68,68,Chambre Lits Jumeaux,,Kyriad Orthez,Orthez,,39
1692657749-4166,01/05/2023,27/09/2023,28/09/2023,88,88,Chambre Double,,Hôtel Lastiry,Sare,,39
1692657749-4167,01/05/2023,27/09/2023,28/09/2023,76,76,Chambre Double,,Logis Hôtel l'Amandier,Morlaas,,39
1692657749-4168,01/05/2023,27/09/2023,28/09/2023,126,126,Chambre Double,,Hotel Balea,Guéthary,,39
1692657749-4169,01/05/2023,27/09/2023,28/09/2023,90,90,Chambre Double Standard,,Hotel Cote Basque,Bayonne,,39
1692657749-4170,01/05/2023,27/09/2023,28/09/2023,79,79,Chambre Double,,Campanile Saint Jean de Luz,Saint-Jean-de-Luz,,39
1692657749-4171,01/05/2023,27/09/2023,28/09/2023,78,78,Chambre Double,,Kyriad Anglet - Biarritz,Anglet,,39
1692657749-4172,01/05/2023,27/09/2023,28/09/2023,107,107,Chambre Double ou Lits Jumeaux - Vue sur Ville,,Logis Hôtel Etchemaïté,Larrau,,39
1692657749-4173,01/05/2023,27/09/2023,28/09/2023,94,94,Chambre Double Standard,,Domaine Agerria,Mauléon-Licharre,,39
1692657749-4174,01/05/2023,27/09/2023,28/09/2023,77,77,Chambre Double Économique - Côté Rue,,Hôtel du Pont,Ascain,,39
1692657749-4175,01/05/2023,27/09/2023,28/09/2023,85,85,Chambre Double,,Hotel Bellevue,Hendaye,,39
1692657749-4176,01/05/2023,27/09/2023,28/09/2023,63,63,Chambre Lits Jumeaux Standard,,Hotel LES GENETS - Restaurant ATEA,Bayonne,,39
1692657749-4177,01/05/2023,27/09/2023,28/09/2023,81,81,Chambre Double Confort,,Hôtel du Parc,Salies-de-Béarn,,39
1692657749-4178,01/05/2023,27/09/2023,28/09/2023,68,68,Chambre Double,,Le Central Hôtel-Bar,Oloron-Sainte-Marie,,39
1692657749-4179,01/05/2023,27/09/2023,28/09/2023,53,53,Chambre Triple Standard avec 1 Lit Double et 1 Lit Simple,,ibis budget Ciboure St-Jean-Luz,Ciboure,,39
1692657749-4180,01/05/2023,27/09/2023,28/09/2023,68,68,Chambre Double,,B&B HOTEL Pau Lescar,Lescar,,39
1692657749-4181,01/05/2023,27/09/2023,28/09/2023,66,66,Chambre Double,,Hôtel Camou,Uhart-Cize,,39
1692657749-4182,01/05/2023,27/09/2023,28/09/2023,82,82,Chambre Lits Jumeaux,,B&B HOTEL Saint Jean de Luz,Saint-Jean-de-Luz,,39
1692657749-4183,01/05/2023,27/09/2023,28/09/2023,94,94,Chambre Triple,,Logis Hôtel Baratxartea,Sare,,39
1692657749-4184,01/05/2023,27/09/2023,28/09/2023,87,87,Chambre Double Économique,,Hôtel d'Ossau,Laruns,,39
1692657749-4185,01/05/2023,27/09/2023,28/09/2023,52,52,Chambre Triple,,ibis budget Pau Lescar,Lescar,,39
1692657749-4186,01/05/2023,27/09/2023,28/09/2023,94,94,Chambre Double,,Logis Hotel Ur-Hegian,Ainhoa,,39
1692657749-4187,01/05/2023,27/09/2023,28/09/2023,70,70,Chambre Triple,,ibis budget Bayonne,Bayonne,,39
1692657749-4188,01/05/2023,27/09/2023,28/09/2023,68,68,Chambre Double,,Hotel Alaïa,Ascain,,39
1692657749-4189,01/05/2023,27/09/2023,28/09/2023,101,101,Chambre Lit King-Size Deluxe,,Carré Pau Airport Hôtel,Serres-Castet,,39
1692657749-4190,01/05/2023,27/09/2023,28/09/2023,68,68,Chambre Lits Jumeaux,,Kyriad Orthez,Orthez,,39
1692657749-4191,01/05/2023,27/09/2023,28/09/2023,88,88,Chambre Double,,Hôtel Lastiry,Sare,,39
1692657749-4192,01/05/2023,27/09/2023,28/09/2023,76,76,Chambre Double,,Logis Hôtel l'Amandier,Morlaas,,39
1692657749-4193,01/05/2023,27/09/2023,28/09/2023,126,126,Chambre Double,,Hotel Balea,Guéthary,,39
1692657749-4194,01/05/2023,27/09/2023,28/09/2023,90,90,Chambre Double Standard,,Hotel Cote Basque,Bayonne,,39
1692657749-4195,01/05/2023,27/09/2023,28/09/2023,79,79,Chambre Double,,Campanile Saint Jean de Luz,Saint-Jean-de-Luz,,39
1692657749-4196,01/05/2023,27/09/2023,28/09/2023,78,78,Chambre Double,,Kyriad Anglet - Biarritz,Anglet,,39
1692657749-4197,01/05/2023,27/09/2023,28/09/2023,107,107,Chambre Double ou Lits Jumeaux - Vue sur Ville,,Logis Hôtel Etchemaïté,Larrau,,39
1692657749-4198,01/05/2023,27/09/2023,28/09/2023,94,94,Chambre Double Standard,,Domaine Agerria,Mauléon-Licharre,,39
1692657749-4199,01/05/2023,27/09/2023,28/09/2023,77,77,Chambre Double Économique - Côté Rue,,Hôtel du Pont,Ascain,,39
1692657749-4200,01/05/2023,27/09/2023,28/09/2023,85,85,Chambre Double,,Hotel Bellevue,Hendaye,,39
1692657749-4201,01/05/2023,27/09/2023,28/09/2023,63,63,Chambre Lits Jumeaux Standard,,Hotel LES GENETS - Restaurant ATEA,Bayonne,,39
1692657749-4202,01/05/2023,27/09/2023,28/09/2023,81,81,Chambre Double Confort,,Hôtel du Parc,Salies-de-Béarn,,39
1692657749-4203,01/05/2023,27/09/2023,28/09/2023,68,68,Chambre Double,,Le Central Hôtel-Bar,Oloron-Sainte-Marie,,39
1692657749-4204,01/05/2023,27/09/2023,28/09/2023,53,53,Chambre Triple Standard avec 1 Lit Double et 1 Lit Simple,,ibis budget Ciboure St-Jean-Luz,Ciboure,,39
1692657749-4205,01/05/2023,27/09/2023,28/09/2023,68,68,Chambre Double,,B&B HOTEL Pau Lescar,Lescar,,39
1692657749-4206,01/05/2023,27/09/2023,28/09/2023,66,66,Chambre Double,,Hôtel Camou,Uhart-Cize,,39
1692657749-4207,01/05/2023,27/09/2023,28/09/2023,82,82,Chambre Lits Jumeaux,,B&B HOTEL Saint Jean de Luz,Saint-Jean-de-Luz,,39
1692657749-4208,01/05/2023,27/09/2023,28/09/2023,94,94,Chambre Triple,,Logis Hôtel Baratxartea,Sare,,39
1692657749-4209,01/05/2023,27/09/2023,28/09/2023,87,87,Chambre Double Économique,,Hôtel d'Ossau,Laruns,,39
1692657749-4210,01/05/2023,27/09/2023,28/09/2023,52,52,Chambre Triple,,ibis budget Pau Lescar,Lescar,,39
1692657749-4211,01/05/2023,27/09/2023,28/09/2023,94,94,Chambre Double,,Logis Hotel Ur-Hegian,Ainhoa,,39
1692657749-4212,01/05/2023,27/09/2023,28/09/2023,70,70,Chambre Triple,,ibis budget Bayonne,Bayonne,,39
1692657749-4213,01/05/2023,27/09/2023,28/09/2023,68,68,Chambre Double,,Hotel Alaïa,Ascain,,39
1692657749-4214,01/05/2023,27/09/2023,28/09/2023,101,101,Chambre Lit King-Size Deluxe,,Carré Pau Airport Hôtel,Serres-Castet,,39
1692657749-4215,01/05/2023,27/09/2023,28/09/2023,68,68,Chambre Lits Jumeaux,,Kyriad Orthez,Orthez,,39
1692657749-4216,01/05/2023,27/09/2023,28/09/2023,88,88,Chambre Double,,Hôtel Lastiry,Sare,,39
1692657749-4217,01/05/2023,27/09/2023,28/09/2023,76,76,Chambre Double,,Logis Hôtel l'Amandier,Morlaas,,39
1692657749-4218,01/05/2023,27/09/2023,28/09/2023,126,126,Chambre Double,,Hotel Balea,Guéthary,,39
1692657749-4219,01/05/2023,27/09/2023,28/09/2023,90,90,Chambre Double Standard,,Hotel Cote Basque,Bayonne,,39
1692657749-4220,01/05/2023,27/09/2023,28/09/2023,79,79,Chambre Double,,Campanile Saint Jean de Luz,Saint-Jean-de-Luz,,39
1692657749-4221,01/05/2023,27/09/2023,28/09/2023,78,78,Chambre Double,,Kyriad Anglet - Biarritz,Anglet,,39
1692657749-4222,01/05/2023,27/09/2023,28/09/2023,107,107,Chambre Double ou Lits Jumeaux - Vue sur Ville,,Logis Hôtel Etchemaïté,Larrau,,39
1692657749-4223,01/05/2023,27/09/2023,28/09/2023,94,94,Chambre Double Standard,,Domaine Agerria,Mauléon-Licharre,,39
1692657749-4224,01/05/2023,27/09/2023,28/09/2023,77,77,Chambre Double Économique - Côté Rue,,Hôtel du Pont,Ascain,,39
1692657749-4225,01/05/2023,27/09/2023,28/09/2023,85,85,Chambre Double,,Hotel Bellevue,Hendaye,,39
1692657749-4226,01/05/2023,27/09/2023,28/09/2023,63,63,Chambre Lits Jumeaux Standard,,Hotel LES GENETS - Restaurant ATEA,Bayonne,,39
1692657749-4227,01/05/2023,27/09/2023,28/09/2023,81,81,Chambre Double Confort,,Hôtel du Parc,Salies-de-Béarn,,39
1692657749-4228,01/05/2023,27/09/2023,28/09/2023,68,68,Chambre Double,,Le Central Hôtel-Bar,Oloron-Sainte-Marie,,39
1692657749-4229,01/05/2023,27/09/2023,28/09/2023,53,53,Chambre Triple Standard avec 1 Lit Double et 1 Lit Simple,,ibis budget Ciboure St-Jean-Luz,Ciboure,,39
1692657749-4230,01/05/2023,27/09/2023,28/09/2023,68,68,Chambre Double,,B&B HOTEL Pau Lescar,Lescar,,39
1692657749-4231,01/05/2023,27/09/2023,28/09/2023,66,66,Chambre Double,,Hôtel Camou,Uhart-Cize,,39
1692657749-4232,01/05/2023,27/09/2023,28/09/2023,82,82,Chambre Lits Jumeaux,,B&B HOTEL Saint Jean de Luz,Saint-Jean-de-Luz,,39
1692657749-4233,01/05/2023,27/09/2023,28/09/2023,94,94,Chambre Triple,,Logis Hôtel Baratxartea,Sare,,39
1692657749-4234,01/05/2023,27/09/2023,28/09/2023,87,87,Chambre Double Économique,,Hôtel d'Ossau,Laruns,,39
1692657749-4235,01/05/2023,27/09/2023,28/09/2023,52,52,Chambre Triple,,ibis budget Pau Lescar,Lescar,,39
1692657749-4236,01/05/2023,27/09/2023,28/09/2023,94,94,Chambre Double,,Logis Hotel Ur-Hegian,Ainhoa,,39
1692657749-4237,01/05/2023,27/09/2023,28/09/2023,70,70,Chambre Triple,,ibis budget Bayonne,Bayonne,,39
1692657749-4238,01/05/2023,27/09/2023,28/09/2023,68,68,Chambre Double,,Hotel Alaïa,Ascain,,39
1692657749-4239,01/05/2023,27/09/2023,28/09/2023,101,101,Chambre Lit King-Size Deluxe,,Carré Pau Airport Hôtel,Serres-Castet,,39
1692657749-4240,01/05/2023,27/09/2023,28/09/2023,68,68,Chambre Lits Jumeaux,,Kyriad Orthez,Orthez,,39
1692657749-4241,01/05/2023,27/09/2023,28/09/2023,88,88,Chambre Double,,Hôtel Lastiry,Sare,,39
1692657749-4242,01/05/2023,27/09/2023,28/09/2023,76,76,Chambre Double,,Logis Hôtel l'Amandier,Morlaas,,39
1692657749-4243,01/05/2023,27/09/2023,28/09/2023,126,126,Chambre Double,,Hotel Balea,Guéthary,,39
1692657749-4244,01/05/2023,27/09/2023,28/09/2023,90,90,Chambre Double Standard,,Hotel Cote Basque,Bayonne,,39
1692657749-4245,01/05/2023,27/09/2023,28/09/2023,79,79,Chambre Double,,Campanile Saint Jean de Luz,Saint-Jean-de-Luz,,39
1692657749-4246,01/05/2023,27/09/2023,28/09/2023,78,78,Chambre Double,,Kyriad Anglet - Biarritz,Anglet,,39
1692657749-4247,01/05/2023,27/09/2023,28/09/2023,107,107,Chambre Double ou Lits Jumeaux - Vue sur Ville,,Logis Hôtel Etchemaïté,Larrau,,39
1692657749-4248,01/05/2023,27/09/2023,28/09/2023,94,94,Chambre Double Standard,,Domaine Agerria,Mauléon-Licharre,,39
1692657749-4249,01/05/2023,27/09/2023,28/09/2023,77,77,Chambre Double Économique - Côté Rue,,Hôtel du Pont,Ascain,,39
1692657749-4250,01/05/2023,27/09/2023,28/09/2023,85,85,Chambre Double,,Hotel Bellevue,Hendaye,,39
1692657749-4251,01/05/2023,27/09/2023,28/09/2023,63,63,Chambre Lits Jumeaux Standard,,Hotel LES GENETS - Restaurant ATEA,Bayonne,,39
1692657749-4252,01/05/2023,27/09/2023,28/09/2023,81,81,Chambre Double Confort,,Hôtel du Parc,Salies-de-Béarn,,39
1692657749-4253,01/05/2023,27/09/2023,28/09/2023,68,68,Chambre Double,,Le Central Hôtel-Bar,Oloron-Sainte-Marie,,39
1692657749-4254,01/05/2023,27/09/2023,28/09/2023,53,53,Chambre Triple Standard avec 1 Lit Double et 1 Lit Simple,,ibis budget Ciboure St-Jean-Luz,Ciboure,,39
1692657749-4255,01/05/2023,27/09/2023,28/09/2023,68,68,Chambre Double,,B&B HOTEL Pau Lescar,Lescar,,39
1692657749-4256,01/05/2023,27/09/2023,28/09/2023,66,66,Chambre Double,,Hôtel Camou,Uhart-Cize,,39
1692657749-4257,01/05/2023,27/09/2023,28/09/2023,82,82,Chambre Lits Jumeaux,,B&B HOTEL Saint Jean de Luz,Saint-Jean-de-Luz,,39
1692657749-4258,01/05/2023,27/09/2023,28/09/2023,94,94,Chambre Triple,,Logis Hôtel Baratxartea,Sare,,39
1692657749-4259,01/05/2023,27/09/2023,28/09/2023,87,87,Chambre Double Économique,,Hôtel d'Ossau,Laruns,,39
1692657749-4260,01/05/2023,27/09/2023,28/09/2023,52,52,Chambre Triple,,ibis budget Pau Lescar,Lescar,,39
1692657749-4261,01/05/2023,27/09/2023,28/09/2023,94,94,Chambre Double,,Logis Hotel Ur-Hegian,Ainhoa,,39
1692657749-4262,01/05/2023,27/09/2023,28/09/2023,70,70,Chambre Triple,,ibis budget Bayonne,Bayonne,,39
1692657749-4263,01/05/2023,27/09/2023,28/09/2023,68,68,Chambre Double,,Hotel Alaïa,Ascain,,39
1692657749-4264,01/05/2023,27/09/2023,28/09/2023,101,101,Chambre Lit King-Size Deluxe,,Carré Pau Airport Hôtel,Serres-Castet,,39
1692657749-4265,01/05/2023,27/09/2023,28/09/2023,68,68,Chambre Lits Jumeaux,,Kyriad Orthez,Orthez,,39
1692657749-4266,01/05/2023,27/09/2023,28/09/2023,88,88,Chambre Double,,Hôtel Lastiry,Sare,,39
1692657749-4267,01/05/2023,27/09/2023,28/09/2023,76,76,Chambre Double,,Logis Hôtel l'Amandier,Morlaas,,39
1692657749-4268,01/05/2023,27/09/2023,28/09/2023,126,126,Chambre Double,,Hotel Balea,Guéthary,,39
1692657749-4269,01/05/2023,27/09/2023,28/09/2023,90,90,Chambre Double Standard,,Hotel Cote Basque,Bayonne,,39
1692657749-4270,01/05/2023,27/09/2023,28/09/2023,79,79,Chambre Double,,Campanile Saint Jean de Luz,Saint-Jean-de-Luz,,39
1692657749-4271,01/05/2023,27/09/2023,28/09/2023,78,78,Chambre Double,,Kyriad Anglet - Biarritz,Anglet,,39
1692657749-4272,01/05/2023,27/09/2023,28/09/2023,107,107,Chambre Double ou Lits Jumeaux - Vue sur Ville,,Logis Hôtel Etchemaïté,Larrau,,39
1692657749-4273,01/05/2023,27/09/2023,28/09/2023,94,94,Chambre Double Standard,,Domaine Agerria,Mauléon-Licharre,,39
1692657749-4274,01/05/2023,27/09/2023,28/09/2023,77,77,Chambre Double Économique - Côté Rue,,Hôtel du Pont,Ascain,,39
1692657749-4275,01/05/2023,27/09/2023,28/09/2023,85,85,Chambre Double,,Hotel Bellevue,Hendaye,,39
1692657749-4276,01/05/2023,27/09/2023,28/09/2023,63,63,Chambre Lits Jumeaux Standard,,Hotel LES GENETS - Restaurant ATEA,Bayonne,,39
1692657749-4277,01/05/2023,27/09/2023,28/09/2023,81,81,Chambre Double Confort,,Hôtel du Parc,Salies-de-Béarn,,39
1692657749-4278,01/05/2023,27/09/2023,28/09/2023,68,68,Chambre Double,,Le Central Hôtel-Bar,Oloron-Sainte-Marie,,39
1692657749-4279,01/05/2023,27/09/2023,28/09/2023,53,53,Chambre Triple Standard avec 1 Lit Double et 1 Lit Simple,,ibis budget Ciboure St-Jean-Luz,Ciboure,,39
1692657749-4280,01/05/2023,27/09/2023,28/09/2023,68,68,Chambre Double,,B&B HOTEL Pau Lescar,Lescar,,39
1692657749-4281,01/05/2023,27/09/2023,28/09/2023,66,66,Chambre Double,,Hôtel Camou,Uhart-Cize,,39
1692657749-4282,01/05/2023,27/09/2023,28/09/2023,82,82,Chambre Lits Jumeaux,,B&B HOTEL Saint Jean de Luz,Saint-Jean-de-Luz,,39
1692657749-4283,01/05/2023,27/09/2023,28/09/2023,94,94,Chambre Triple,,Logis Hôtel Baratxartea,Sare,,39
1692657749-4284,01/05/2023,27/09/2023,28/09/2023,87,87,Chambre Double Économique,,Hôtel d'Ossau,Laruns,,39
1692657749-4285,01/05/2023,27/09/2023,28/09/2023,52,52,Chambre Triple,,ibis budget Pau Lescar,Lescar,,39
1692657749-4286,01/05/2023,27/09/2023,28/09/2023,94,94,Chambre Double,,Logis Hotel Ur-Hegian,Ainhoa,,39
1692657749-4287,01/05/2023,27/09/2023,28/09/2023,70,70,Chambre Triple,,ibis budget Bayonne,Bayonne,,39
1692657749-4288,01/05/2023,27/09/2023,28/09/2023,68,68,Chambre Double,,Hotel Alaïa,Ascain,,39
1692657749-4289,01/05/2023,27/09/2023,28/09/2023,101,101,Chambre Lit King-Size Deluxe,,Carré Pau Airport Hôtel,Serres-Castet,,39
1692657749-4290,01/05/2023,27/09/2023,28/09/2023,68,68,Chambre Lits Jumeaux,,Kyriad Orthez,Orthez,,39
1692657749-4291,01/05/2023,27/09/2023,28/09/2023,88,88,Chambre Double,,Hôtel Lastiry,Sare,,39
1692657749-4292,01/05/2023,27/09/2023,28/09/2023,76,76,Chambre Double,,Logis Hôtel l'Amandier,Morlaas,,39
1692657749-4293,01/05/2023,27/09/2023,28/09/2023,126,126,Chambre Double,,Hotel Balea,Guéthary,,39
1692657749-4294,01/05/2023,27/09/2023,28/09/2023,90,90,Chambre Double Standard,,Hotel Cote Basque,Bayonne,,39
1692657749-4295,01/05/2023,27/09/2023,28/09/2023,79,79,Chambre Double,,Campanile Saint Jean de Luz,Saint-Jean-de-Luz,,39
1692657749-4296,01/05/2023,27/09/2023,28/09/2023,78,78,Chambre Double,,Kyriad Anglet - Biarritz,Anglet,,39
1692657749-4297,01/05/2023,27/09/2023,28/09/2023,107,107,Chambre Double ou Lits Jumeaux - Vue sur Ville,,Logis Hôtel Etchemaïté,Larrau,,39
1692657749-4298,01/05/2023,27/09/2023,28/09/2023,94,94,Chambre Double Standard,,Domaine Agerria,Mauléon-Licharre,,39
1692657749-4299,01/05/2023,27/09/2023,28/09/2023,77,77,Chambre Double Économique - Côté Rue,,Hôtel du Pont,Ascain,,39
1692657749-4300,01/05/2023,27/09/2023,28/09/2023,85,85,Chambre Double,,Hotel Bellevue,Hendaye,,39
1692657749-4301,01/05/2023,27/09/2023,28/09/2023,63,63,Chambre Lits Jumeaux Standard,,Hotel LES GENETS - Restaurant ATEA,Bayonne,,39
1692657749-4302,01/05/2023,27/09/2023,28/09/2023,81,81,Chambre Double Confort,,Hôtel du Parc,Salies-de-Béarn,,39
1692657749-4303,01/05/2023,27/09/2023,28/09/2023,68,68,Chambre Double,,Le Central Hôtel-Bar,Oloron-Sainte-Marie,,39
1692657749-4304,01/05/2023,28/09/2023,29/09/2023,85,85,Chambre Double ou Lits Jumeaux,,Hôtel le Christiania,Arêches,,39
1692657749-4305,01/05/2023,28/09/2023,29/09/2023,64,64,Dortoir Mixte ,,Hôtel Maison Doron,Beaufort,,39
1692657749-4306,01/05/2023,28/09/2023,29/09/2023,123,123,Chambre Lits Jumeaux,,Hôtel du Grand-Mont,Beaufort,,39
1692657749-4307,01/05/2023,28/09/2023,29/09/2023,135,135,Chambre Double ou Lits Jumeaux,,Hôtel Les Ancolies à Arêches,Arêches,,39
1692657749-4308,01/05/2023,28/09/2023,29/09/2023,111,111,Chambre Double - Vue sur Montagne,,Hôtel Viallet,Arêches,,39
1692657749-4309,01/05/2023,28/09/2023,29/09/2023,122,122,Chambre Quadruple Standard,,La Mollinière,Notre-Dame-de-Bellecombe,,39
